sample_id,vlm_tau_aggregation_pattern_proportion,vlm_somatic_nft_density,axon_to_soma_tau_intensity_ratio,tau_neurite_bead_density,distal_to_proximal_axon_tau_intensity_ratio
MU_1,31.6,24.8,2.285811592372153,1.5557020435069215,0.8200879035653363
MU_2,11.6,68.4,1.0631789996355965,3.454593038471604,1.082459813096818
MU_3,31.6,78.3,1.1290379237936632,1.736745886654479,1.1843590665118857
MU_4,22.6,27.8,1.1015228640448542,1.835070231082918,1.1018077936757498
MU_5,18.7,42.6,4.871570791391183,5.199550309162451,1.1634690528469789
WT_1,17.6,43.8,3.6998185731249307,5.169575238722423,1.488090493656148
WT_2,31.7,69.4,1.8677861610915918,6.925207756232687,0.796435852798654
WT_3,36.8,71.4,3.188901993105353,5.270092226613966,0.5786741234450972
WT_4,24.6,13.8,5.52522381486326,7.2727272727272725,2.0189727558705886
WT_5,34.7,76.2,0.9775342180127669,5.539206068929436,0.6362723639907248
