sample_id,vlm_tau_aggregation_pattern_proportion,vlm_somatic_nft_density,axon_to_soma_tau_intensity_ratio,tau_neurite_bead_density,distal_to_proximal_axon_tau_intensity_ratio,vlm_tau_fibril_presence,vlm_tau_pathology_stage_index,tau_axon_continuity_index,soma_tau_intensity_homogeneity,dendrite_tau_bead_count
WT_1,28.4,22.1,5.74,0.038,0.42,18.2,24.6,0.91,0.72,12
WT_2,31.5,25.8,4.92,0.041,0.38,21.6,27.3,0.88,0.69,15
WT_3,26.2,19.4,5.31,0.035,0.45,16.8,22.9,0.93,0.75,10
WT_4,33.8,28.6,4.61,0.044,0.36,24.1,29.8,0.85,0.66,18
WT_5,29.7,23.5,5.18,0.039,0.40,19.5,25.4,0.90,0.71,13
MU_1,78.4,85.7,1.24,0.086,0.19,72.5,82.4,0.41,0.38,43
MU_2,81.2,88.3,1.08,0.094,0.16,76.8,86.1,0.36,0.34,48
MU_3,74.6,79.5,1.41,0.078,0.22,68.2,77.9,0.47,0.42,38
MU_4,83.5,91.2,0.96,0.102,0.14,81.4,89.6,0.32,0.31,52
MU_5,76.9,82.8,1.33,0.081,0.20,70.6,80.3,0.44,0.39,41
