sample_id,axon_to_soma_tau_intensity_ratio,distal_to_proximal_axon_tau_intensity_ratio,tau_neurite_bead_density,vlm_somatic_nft_density,vlm_tau_aggregation_pattern_proportion
MU_1,2.285811592372153,0.8200879035653363,1.5557020435069215,24.8,31.6
MU_2,1.0631789996355965,1.082459813096818,3.454593038471604,68.4,11.6
MU_3,1.1290379237936632,1.1843590665118855,1.736745886654479,78.3,31.6
MU_4,1.1015228640448542,1.1018077936757498,1.835070231082918,27.8,22.6
MU_5,4.871570791391183,1.1634690528469789,5.199550309162451,42.6,18.7
WT_1,3.6998185731249302,1.488090493656148,5.169575238722423,43.8,17.6
WT_2,1.867786161091592,0.796435852798654,6.925207756232687,69.4,31.7
WT_3,3.188901993105353,0.5786741234450972,5.270092226613966,71.4,36.8
WT_4,5.52522381486326,2.018972755870589,7.272727272727272,13.8,24.6
WT_5,0.9775342180127669,0.6362723639907248,5.539206068929436,76.2,34.7
