method,method_key,k,k_numeric,n_features,mAP,ci95_low,ci95_high
CellProfiler,cellprofiler,All,6278,6278,0.15437575544298449,0.1496979055938944,0.15932536020606125
CellProfiler,cellprofiler,50,50,50,0.12790163430074375,0.12391105352390487,0.13189782472804443
CellProfiler,cellprofiler,100,100,100,0.1781765106335915,0.17308189955902784,0.18368025862546927
CellProfiler,cellprofiler,200,200,200,0.19801057569310573,0.19225534437456554,0.20400574307458383
CellProfiler,cellprofiler,400,400,400,0.20626353762475633,0.20040394547954984,0.2124166439355122
CellProfiler,cellprofiler,800,800,800,0.2004711766202208,0.19459710283924303,0.20654094874973694
CellProfiler,cellprofiler,1600,1600,1600,0.18187494105616037,0.17653599649393592,0.18757411854894998
DeepProfiler,deepprofiler,All,672,672,0.19017811120420633,0.18534779634140502,0.19510759691626645
DeepProfiler,deepprofiler,50,50,50,0.1699579959042307,0.16574234075002298,0.17410634241348671
DeepProfiler,deepprofiler,100,100,100,0.18140744124750904,0.17687641447862867,0.1859852336619358
DeepProfiler,deepprofiler,200,200,200,0.18974939796496046,0.18494653164534477,0.19480349586511653
DeepProfiler,deepprofiler,400,400,400,0.194157281431315,0.18917030246432065,0.1992863964088844
MorphAgent,morphagent,All,467,467,0.19181431864251489,0.18611043182713435,0.1974705638322438
MorphAgent,morphagent,50,50,50,0.193176232276667,0.1874147199199787,0.19881376506481785
MorphAgent,morphagent,100,100,100,0.21479401202317178,0.20858401086263226,0.22070376695415858
MorphAgent,morphagent,200,200,200,0.22611274162767475,0.21961204112015695,0.23239738214183842
MorphAgent,morphagent,400,400,400,0.2011329478743318,0.19520539625720523,0.2069855802847342
