task,method,metric,point_estimate,ci95_low,ci95_high,selected_k,n_features
perturbation_detection,CellProfiler,mAP,0.15437575544298449,0.1496979055938944,0.15932536020606125,All,6278.0
perturbation_detection,DeepProfiler,mAP,0.19017811120420633,0.18534779634140502,0.19510759691626645,All,672.0
perturbation_detection,DeepProfiler (retrained on BBBC021),mAP,0.042285957099470674,0.041605096272182986,0.042938653337802675,All,672.0
perturbation_detection,MorphAgent,mAP,0.2281602571418537,0.22181396470109344,0.23420148781138064,200,200.0
moa_detection,CellProfiler,Accuracy,0.47191011235955055,0.41853932584269665,0.5280898876404494,All,6278.0
moa_detection,DeepProfiler,Accuracy,0.5786516853932584,0.5280898876404494,0.6292134831460674,All,672.0
moa_detection,DeepProfiler (retrained on BBBC021),Accuracy,0.16573033707865167,0.12921348314606743,0.2050561797752809,All,672.0
moa_detection,MorphAgent,Accuracy,0.6207865168539326,0.5702247191011236,0.6713483146067416,100,100.0
same_moa_matching,CellProfiler,mAP,0.5244113498263889,0.4563686794704861,0.5971242947048611,All,6278.0
same_moa_matching,DeepProfiler,mAP,0.5428331163194444,0.47281277126736104,0.6150230577256942,All,672.0
same_moa_matching,DeepProfiler (retrained on BBBC021),mAP,0.4620578342013889,0.41067850748697915,0.5154091389973958,All,672.0
same_moa_matching,MorphAgent,mAP,0.6015055338541666,0.525320570203993,0.6828006320529514,200,200.0
l1000_regression,CellProfiler,R²,0.096,0.0594214244718968,0.1288295014497146,Existing,
l1000_regression,DeepProfiler,R²,0.159,0.1224753269458476,0.1920577534139549,Existing,
l1000_regression,DeepProfiler (retrained on BBBC021),R²,-0.0055,-0.0189605993707012,0.0022817558482443,Existing,
l1000_regression,MorphAgent,R²,0.1772,0.1433522733857176,0.2073759023580884,Existing,
