rank,feature_name
1,background_mito_signal_to_noise
2,mitochondria_to_background_intensity_contrast
3,nucleus_to_mitochondria_intensity_ratio
4,background_noise_robust_snr
5,mitochondria_intensity_entropy_within_cell
6,median_mitochondria_object_area
7,mitochondria_radial_distribution_entropy
8,mitochondria_neighbor_intensity_variogram_slope
9,elongated_mito_fraction_by_aspect_ratio
10,mitochondria_polarization_toward_niche_side
11,mitochondria_neighbor_intensity_autocorrelation
12,mitochondria_intensity_weighted_eccentricity_variance
13,intra_cell_mito_intensity_variogram_slope
14,mitochondria_network_compactness
15,mitochondria_texture_anisotropy_glcm
16,mitochondria_network_spatial_entropy
17,mitochondrial_network_fragmentation_score
18,mitochondria_intensity_variance_across_radial_shells
19,mitochondria_perimeter_to_area_ratio_mean
20,intra_cell_mitochondria_cluster_coefficient
21,mitochondrial_radial_anisotropy_index
22,mitochondria_background_contrast_ratio
23,intra_cell_mitochondria_clusteredness
24,background_mito_signal_contamination_index
25,mitochondria_clusteredness_by_nearest_neighbor
