sample_id,whole_cell_average_intensity,nuc_tau_intensity_at_body,cyto_tau_intensity_at_body,tau_intensity_of_bundle,tau_intensity_of_a_single_filament,nuc_background_ratio,nuc_cyto_ratio,single_filament_cyto_ratio,single_filament_bundle_ratio,tau_continuity,bundle_width,single_filament_number,germinal_center,droplet_number,all_droplet_size,droplet_intensity
WT_1,1230.2871167238827,742.9940878893156,1257.0205808790092,7067.325,830.0384615384615,0.5914237649578992,0.5910755155414836,0.6607111415616941,0.11744733142150128,3.6087261887970583,2.0,1.0,1.0,0.0,0.0,0.0
WT_10,2235.0234008201096,1409.0631945596285,2252.1931117233103,10840.037037037036,0.0,0.6265417295307449,0.6256404866994091,,,4.597208971318086,2.0,28.0,1.0,1.0,248.0,4166.987903225807
WT_10_2,904.2767475035663,734.6959721938254,909.2792026658223,3779.4333333333334,1003.2258064516129,0.8089606717161341,0.8079982144536527,1.1046340976209286,0.26544344560955685,4.1541825261015575,2.0,1.0,1.0,1.0,133.0,1640.3533834586467
WT_11,106.45519190056682,68.42570281124497,109.09157960556644,569.5483870967741,0.0,0.6276066128844096,0.6272317538956373,0.74072522911554,0.14179413464993829,4.326750762653683,2.0,26.0,1.0,0.0,0.0,0.0
WT_11_2,6753.323102583176,5316.506148664525,6843.38870831533,12480.57142857143,0.0,0.776970093624625,0.7768820938381732,,,4.7047353018491975,2.0,31.0,1.0,0.0,0.0,0.0
WT_12,37.58243596488344,28.15391439343535,37.7604681840072,,71.02439024390245,0.7457051089732055,0.7455923018814543,1.8812037973282392,,4.289342689818104,0.0,1.0,1.0,0.0,0.0,0.0
WT_13,1631.5014799669534,885.8843181818182,1651.524522878051,4881.466216216216,0.0,0.5371461641750612,0.5364039745761815,,,4.787285196583987,2.0,38.0,1.0,1.0,530.0,2157.5716981132077
WT_13_2,196.42638815904712,117.92280033840947,197.80462599887116,912.7368421052631,168.93939393939394,0.596299370452859,0.5961579500121622,0.8542746098435037,0.1850910209231049,3.381718667107253,2.0,1.0,1.0,0.0,0.0,0.0
WT_13_3,15.116824723304273,11.843351142772336,15.204340753084951,,30.466666666666665,0.7789919329738487,0.7789453903398822,2.003933453617167,,4.485362622098306,0.0,1.0,1.0,0.0,0.0,0.0
WT_14,871.277478875728,783.2840097952378,874.3035378647387,3142.098360655738,0.0,0.8961489063671126,0.8958948189872448,0.7923739773767944,0.22041924468076926,4.558284992923774,2.0,60.0,1.0,0.0,0.0,0.0
WT_14_2,311.3082822029097,336.5184040838259,310.5936896697472,,199.26666666666668,1.0834238921943293,1.0834682586167295,0.6415407447695262,,4.508354689208252,0.0,1.0,1.0,0.0,0.0,0.0
WT_15,427.77291398668507,340.66923194148126,430.4854932668921,,567.88,0.7913755232882624,0.7913605389026974,1.3191867360717084,,4.415043382436208,0.0,1.0,1.0,0.0,0.0,0.0
WT_15_2,57.11118917243517,41.9495437466452,57.22882654761111,,52.95238095238095,0.7330094306869551,0.7330142216308695,0.9252685762172949,,4.228502613681996,0.0,1.0,1.0,0.0,0.0,0.0
WT_16,3503.6635632418133,2325.002622705133,3547.574115394969,6111.958333333333,0.0,0.6554235187784782,0.6553781674681881,,,4.7884578584223725,2.0,41.0,1.0,0.0,0.0,0.0
WT_16_2,37.85768225744105,32.126075570520015,37.90545428466302,,64.66666666666667,0.8475597273540372,0.8475317385529552,1.7060553271931194,,4.208983475607816,0.0,35.0,1.0,0.0,0.0,0.0
WT_17,6504.138648079696,5846.475736007765,6521.429521039067,,0.0,0.8965021728972452,0.8965021728972452,,,1.0,0.0,25.0,1.0,0.0,0.0,0.0
WT_17_2,13.18575608035307,12.640101469189304,13.20629590432008,,17.0,0.9571663201615035,0.9571269310310122,1.287317786364984,,4.2582797503334255,0.0,1.0,1.0,0.0,0.0,0.0
WT_18,4486.693674967374,4499.6655660377355,4486.445421062451,,0.0,1.0029466857912102,1.0029466857912102,,,1.0,0.0,34.0,1.0,0.0,0.0,0.0
WT_18_2,21.959582614822644,16.209529276693456,22.151511812834123,,58.04347826086956,0.7318225713611581,0.7317572459005707,2.620528134193909,,4.334492125164237,0.0,1.0,1.0,0.0,0.0,0.0
WT_19,98.57452652601135,55.906872117872005,99.66267862982107,,142.0,0.5609807873816514,0.5609609623831999,1.4248565299851474,,4.216099224802919,0.0,1.0,1.0,0.0,0.0,0.0
WT_1_2,66.73227783393834,32.9065562690098,67.92251138620337,,137.2962962962963,0.4845117446984143,0.4844720196210807,2.021532351040837,,4.267044688999931,0.0,1.0,1.0,0.0,0.0,0.0
WT_1_3,54.351100744518966,39.54729633328578,54.67180255918897,,71.03333333333333,0.7233782686603029,0.7233581934758956,1.2993042369014869,,4.225399306553134,0.0,1.0,1.0,0.0,0.0,0.0
WT_1_4,153.50335826797473,112.12363830273482,155.7107004112417,,243.73469387755102,0.7201171754521748,0.7200766421742968,1.5653928285925185,,4.151640034647715,0.0,1.0,1.0,0.0,0.0,0.0
WT_2,18.47960329199378,14.192880042107278,18.656500954701535,,33.11363636363637,0.7607983811388002,0.7607471559950044,1.7750309214431272,,4.406649313948277,0.0,1.0,1.0,0.0,0.0,0.0
WT_20,16.37224235679805,10.59754613668627,16.518598375822368,,32.787234042553195,0.6416287179247716,0.6415523820833061,1.9851039732864924,,4.349228499885923,0.0,1.0,1.0,0.0,0.0,0.0
WT_21,3775.9853805776247,3453.2775198938994,3780.9278425378384,7767.096774193548,0.0,0.9135830540652519,0.913341291796774,,,4.765553986567827,2.0,42.0,1.0,1.0,116.0,6111.491379310345
WT_22,15.266998765963924,15.810587707492148,15.246641442482812,,33.31428571428572,1.0371327898843363,1.036988228990417,2.1853291430455952,,4.390521538890054,0.0,1.0,1.0,0.0,0.0,0.0
WT_23,3548.866031557011,2551.1179888832744,3575.0960506389647,6762.307692307692,3907.0,0.7169043264503201,0.7135802654665241,1.0979285221799897,0.5777613468319872,3.955980126264131,2.0,1.0,1.0,1.0,3790.0,4838.225857519789
WT_24,53.69164216170802,54.92998798076923,53.67878008588835,,68.18181818181819,1.023356640172229,1.023309171573551,1.2702408818987354,,4.310564671682972,0.0,1.0,1.0,0.0,0.0,0.0
WT_25,23.87049016833111,19.180325814536342,24.00007963547726,,26.352941176470587,0.7991822024155385,0.7991775904853129,1.1508648916760007,,4.267153406767331,0.0,29.0,1.0,0.0,0.0,0.0
WT_26,3714.4177945168394,2454.580539656582,3744.6586114429974,7406.727272727273,2076.525,0.6556704675308568,0.655488468870254,0.5546838229964949,0.2803566168348185,4.261272119050735,2.0,1.0,1.0,1.0,93.0,5116.8494623655915
WT_2_2,3791.8188486772196,3903.343136428752,3789.5034945705133,,0.0,1.0301514305938158,1.0300407802819933,,,1.0,0.0,71.0,1.0,1.0,241.0,4754.502074688797
WT_2_3,1446.5253927833567,919.3120829284095,1481.2535538854818,6361.04347826087,0.0,0.6259056368403797,0.6206311407773224,,,4.830144344511982,2.0,23.0,1.0,1.0,1189.0,3834.111017661901
WT_2_4,2736.5532387803796,1761.1235629662133,2770.7389984498795,5591.978723404255,0.0,0.6358676378352719,0.6356151062772398,,,4.8053063663693685,2.0,35.0,1.0,2.0,132.0,4475.128787878788
WT_3,3077.0850664497316,2037.336693548387,3087.4963409193224,15020.965517241379,0.0,0.6657015558668798,0.6598669175885588,1.4243408842982206,0.29020128188646677,3.423622579361592,2.0,1.0,1.0,1.0,10279.0,4330.74666796381
