sample_id,Whole Cell Average Intensity,Nuc Tau Intensity at Body (zstack),Cyto Tau Intensity at Body (zstack),Tau Intensity of Bundle,Tau Intensity of a Single Filament,Nuc/Background,Nuc/Cyto,Single Filament/Cyto,Single Filament/Bundle,Tau Continuity,Bundle Width,Single Filament Number,Germinal Center,Droplet Number,All Droplet Size,Droplet Intensity
WT_1,1230.2871167238827,76.6336319863473,1278.769401330377,7067.325,797.8076923076923,38.31681599317365,0.059927639734436,0.62388706789331,0.1128867983724665,1.0,10.0,0.25,0.0,0.0,0.0,0.0
WT_10,2235.0234008201096,279.86913252612374,1763.579326923077,10840.037037037036,0.0,139.93456626306187,0.1586938156132803,0.0,0.0,1.0,7.0,0.0,0.0,1.0,248.0,3912.1975806451615
WT_10_2,904.2767475035664,311.04191371907586,592.6282864913871,3526.133333333333,609.0322580645161,155.52095685953793,0.5248516157751716,1.0276800347655484,0.1727195770809903,1.0,15.0,0.25,0.0,1.0,133.0,1418.7894736842106
WT_11,106.45519190056682,9.631641319375865,15.877173913043478,569.3548387096774,64.82758620689656,4.815820659687932,0.6066344912593822,4.083068344652895,0.1138614828563055,1.0,8.0,0.75,0.0,0.0,0.0,0.0
WT_11_2,6753.323102583176,496.8825095950497,4667.57485988791,12365.42857142857,0.0,248.4412547975249,0.1064541061494581,0.0,0.0,1.0,14.0,0.0,0.0,6.0,1183.0,7507.524091293322
WT_12,37.58243596488344,6.339099578620536,3.635087719298246,0.0,62.90243902439025,3.169549789310268,1.743864266319356,17.30424239570581,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_13,1631.5014799669534,283.6176136363636,1057.2852233676977,4493.959459459459,0.0,141.8088068181818,0.2682508062800461,0.0,0.0,1.0,38.0,0.0,0.0,1.0,530.0,2062.8603773584905
WT_13_2,196.42638815904712,33.41391708967851,46.66918714555766,912.7368421052632,163.42424242424244,16.706958544839257,0.715973839129939,3.5017589210314424,0.1790485875943147,0.0,6.0,0.75,0.0,0.0,0.0,0.0
WT_13_3,15.116824723304273,3.2094835262689227,3.120608899297424,0.0,23.266666666666666,1.6047417631344614,1.028479899224638,7.4558098811757345,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_14,871.277478875728,177.7641848590632,709.068669527897,3142.098360655738,665.8947368421053,88.8820924295316,0.2507009440671238,0.9391117750068732,0.2119267637131311,1.0,9.0,0.75,0.0,0.0,0.0,0.0
WT_14_2,311.3082822029097,70.92598065556153,140.01589958158996,0.0,165.03333333333333,35.462990327780766,0.5065566186948047,1.178675663453244,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_15,427.772913986685,111.36261810423652,173.3111111111111,0.0,439.6,55.68130905211826,0.6425590222708865,2.5364790357738176,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_15_2,57.11118917243517,6.99194847020934,20.430799220272903,0.0,52.333333333333336,3.49597423510467,0.3422258911570834,2.561492224024425,-1.0,-0.5,0.0,1.0,0.0,0.0,0.0,0.0
WT_16,3503.6635632418133,157.68816571214472,3828.2412095639934,6111.958333333333,0.0,78.84408285607236,0.0411907602159959,0.0,0.0,1.0,10.0,0.0,0.0,2.0,6465.0,5238.371384377417
WT_16_2,37.85768225744105,5.997381219603442,7.214285714285714,0.0,59.4,2.998690609801721,0.8313201690539425,8.233663366336634,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_17,6504.138648079696,3723.892106114526,5986.224199288256,0.0,0.0,1861.946053057263,0.6220769523729641,0.0,1.0,-2.0,0.0,0.0,0.0,25.0,2471.0,8180.857547551598
WT_17_2,13.18575608035307,3.142268259169221,5.597733711048159,0.0,15.833333333333334,1.5711341295846104,0.561346505813125,2.828525641025641,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_18,4486.693674967374,700.5981132075472,3723.254572713643,0.0,0.0,350.2990566037736,0.1881682005689248,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
WT_18_2,21.959582614822644,4.644589552238806,11.23728813559322,0.0,46.47826086956522,2.322294776119403,0.4133194322505121,4.136074496688308,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_19,98.57452652601135,12.24305477449106,13.06501182033097,0.0,98.58620689655172,6.121527387245529,0.937087156357499,7.545818423458135,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_1_2,66.73227783393834,10.693730990199391,20.02158273381295,0.0,105.74074074074076,5.346865495099696,0.534110171626919,5.281337751693483,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_1_3,54.351100744518966,7.15537166500214,6.382783882783883,0.0,62.0,3.57768583250107,1.1210424473719278,9.713629842180774,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WT_1_4,153.50335826797473,28.61495391178487,65.29117259552042,0.0,243.73469387755105,14.307476955892437,0.4382668096505915,3.7330420666127457,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
