sample_id,mean_cell_intensity
WT_1,1230.2871167238827
WT_10,2235.0234008201096
WT_10_2,904.2767475035663
WT_11,106.45519190056682
WT_11_2,6753.323102583176
WT_12,37.58243596488344
WT_13,1631.5014799669534
WT_13_2,196.42638815904712
WT_13_3,15.116824723304273
WT_14,871.277478875728
WT_14_2,311.3082822029097
WT_15,427.77291398668507
WT_15_2,57.11118917243517
WT_16,3503.6635632418133
WT_16_2,37.85768225744105
WT_17,6504.138648079696
WT_17_2,13.18575608035307
WT_18,4486.693674967374
WT_18_2,21.959582614822644
WT_19,98.57452652601135
WT_1_2,66.73227783393834
WT_1_3,54.351100744518966
WT_1_4,153.50335826797473
WT_2,18.47960329199378
WT_20,16.37224235679805
WT_21,3775.9853805776247
WT_22,15.266998765963924
WT_23,3548.866031557011
WT_24,53.69164216170802
WT_25,23.87049016833111
WT_26,3714.4177945168394
WT_2_2,3791.8188486772196
WT_2_3,1446.5253927833567
WT_2_4,2736.5532387803796
WT_3,3077.0850664497316
WT_3_2,202.20070118812433
WT_3_3,18.745407485328315
WT_3_4,35.87267321351067
WT_4,1657.2585198774548
WT_4_2,17.450589029930722
WT_4_3,39.28848162827731
WT_4_4,371.4805256143166
WT_5,55.81474622167594
WT_5_2,50.11928742026361
WT_5_3,4534.495283192825
WT_5_4,43.27246975044114
WT_6,3919.9838214155634
WT_6_2,2629.9318302157776
WT_6_3,10.641753232987067
WT_6_4,4309.209871096093
WT_7,5458.0472439305395
WT_7_2,7897.976630785791
WT_7_3,3278.985156236058
WT_8,5385.052578743125
WT_8_2,5199.810204994165
WT_8_3,6857.20953942528
WT_9,786.3467654300609
WT_9_2,7155.109068888101
