panel,morphology_class_order,morphology_class,GO_display_order,GO_term,shared_gene_count,shared_genes,n_morph_genes,n_GO_genes,permutation_exceed_count,permutation_n,permutation_p_value,BH_FDR_q_value,BP_display,GO_short
d,1,Perinuclear–somatic Tau mislocalization and disruption of the nucleocytoplasmic interface,1,Mitochondrion-associated (9 GO terms merged),5,APOO;DNAJC19;HSPA4;MFN2;TIMM29,175,34,0,10000,9.999000099990002e-05,0.0003269943275942,Tau mislocalization,Mitochondrion
d,1,Perinuclear–somatic Tau mislocalization and disruption of the nucleocytoplasmic interface,2,mRNA processing,10,CMTR2;DHX15;PAXBP1;PCF11;PPP1R8;RALY;RBPMS2;RNPC3;SNRPC;SUGP1,175,47,0,10000,9.999000099990002e-05,0.0003269943275942,Tau mislocalization,mRNA processing
d,1,Perinuclear–somatic Tau mislocalization and disruption of the nucleocytoplasmic interface,3,ribonucleoprotein complex biogenesis,3,RPS16;SNRPC;SRFBP1,175,45,88,10000,0.0088991100889911,0.0188910933468056,Tau mislocalization,ribonucleoprotein complex biogenesis
d,1,Perinuclear–somatic Tau mislocalization and disruption of the nucleocytoplasmic interface,4,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,2,RPS6KA3;SH3RF1,175,11,33,10000,0.0033996600339966,0.0073456940020283,Tau mislocalization,Neg. reg. of caspase activity
d,1,Perinuclear–somatic Tau mislocalization and disruption of the nucleocytoplasmic interface,5,ribosome biogenesis,2,RPS16;SRFBP1,175,34,334,10000,0.0334966503349665,0.0596043336842786,Tau mislocalization,ribosome biogenesis
d,1,Perinuclear–somatic Tau mislocalization and disruption of the nucleocytoplasmic interface,6,endoribonuclease complex,0,,175,8,10000,10000,1.0,1.0,Tau mislocalization,endoribonuclease complex
d,1,Perinuclear–somatic Tau mislocalization and disruption of the nucleocytoplasmic interface,7,cytosolic ribosome,4,HBS1L;RPL39;RPS16;RPS3,175,16,0,10000,9.999000099990002e-05,0.0003269943275942,Tau mislocalization,cytosolic ribosome
d,1,Perinuclear–somatic Tau mislocalization and disruption of the nucleocytoplasmic interface,8,spliceosomal complex,6,DHX15;PPP1R8;RALY;RNPC3;SNRPC;SUGP1,175,22,0,10000,9.999000099990002e-05,0.0003269943275942,Tau mislocalization,spliceosomal complex
d,1,Perinuclear–somatic Tau mislocalization and disruption of the nucleocytoplasmic interface,9,multi-pass translocon complex,0,,175,4,10000,10000,1.0,1.0,Tau mislocalization,multi-pass translocon complex
d,1,Perinuclear–somatic Tau mislocalization and disruption of the nucleocytoplasmic interface,10,lysosomal membrane,5,AP2A2;ATP6V0E2;MLST8;RNF167;SPPL2A,175,38,0,10000,9.999000099990002e-05,0.0003269943275942,Tau mislocalization,lysosomal membrane
d,1,Perinuclear–somatic Tau mislocalization and disruption of the nucleocytoplasmic interface,11,ribosome,5,HBS1L;MRPL19;RPL39;RPS16;RPS3,175,24,0,10000,9.999000099990002e-05,0.0003269943275942,Tau mislocalization,ribosome
d,2,"Global Tau spatial redistribution, polarity, and intracellular compartmentalization",1,Mitochondrion-associated (9 GO terms merged),3,APOOL;DNAJC15;UQCRH,122,34,12,10000,0.0012998700129987,0.0031456854314568,Global Tau spatial redistribution,Mitochondrion
d,2,"Global Tau spatial redistribution, polarity, and intracellular compartmentalization",2,mRNA processing,6,DHX15;IWS1;PAXBP1;RNPC3;SNRPB2;SUGP1,122,47,0,10000,9.999000099990002e-05,0.0003269943275942,Global Tau spatial redistribution,mRNA processing
d,2,"Global Tau spatial redistribution, polarity, and intracellular compartmentalization",3,ribonucleoprotein complex biogenesis,6,EIF3K;EXOSC1;RPS16;SNRPB2;TAF9;TSR2,122,45,0,10000,9.999000099990002e-05,0.0003269943275942,Global Tau spatial redistribution,ribonucleoprotein complex biogenesis
d,2,"Global Tau spatial redistribution, polarity, and intracellular compartmentalization",4,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,1,FNIP1,122,11,671,10000,0.0671932806719328,0.1098700940716739,Global Tau spatial redistribution,Neg. reg. of caspase activity
d,2,"Global Tau spatial redistribution, polarity, and intracellular compartmentalization",5,ribosome biogenesis,3,EXOSC1;RPS16;TSR2,122,34,16,10000,0.0016998300169983,0.0039553736933998,Global Tau spatial redistribution,ribosome biogenesis
d,2,"Global Tau spatial redistribution, polarity, and intracellular compartmentalization",6,endoribonuclease complex,0,,122,8,10000,10000,1.0,1.0,Global Tau spatial redistribution,endoribonuclease complex
d,2,"Global Tau spatial redistribution, polarity, and intracellular compartmentalization",7,cytosolic ribosome,5,RPL36;RPL39;RPS16;RPS29;RPS3,122,16,0,10000,9.999000099990002e-05,0.0003269943275942,Global Tau spatial redistribution,cytosolic ribosome
d,2,"Global Tau spatial redistribution, polarity, and intracellular compartmentalization",8,spliceosomal complex,4,DHX15;RNPC3;SNRPB2;SUGP1,122,22,0,10000,9.999000099990002e-05,0.0003269943275942,Global Tau spatial redistribution,spliceosomal complex
d,2,"Global Tau spatial redistribution, polarity, and intracellular compartmentalization",9,multi-pass translocon complex,0,,122,4,10000,10000,1.0,1.0,Global Tau spatial redistribution,multi-pass translocon complex
d,2,"Global Tau spatial redistribution, polarity, and intracellular compartmentalization",10,lysosomal membrane,6,CHMP7;DAGLB;FNIP1;MYO6;NPRL3;SLC48A1,122,38,0,10000,9.999000099990002e-05,0.0003269943275942,Global Tau spatial redistribution,lysosomal membrane
d,2,"Global Tau spatial redistribution, polarity, and intracellular compartmentalization",11,ribosome,6,MRPS18B;RPL36;RPL39;RPS16;RPS29;RPS3,122,24,0,10000,9.999000099990002e-05,0.0003269943275942,Global Tau spatial redistribution,ribosome
d,3,"Neuritic, axonal–dendritic polarity and neuronal-process pathology",1,Mitochondrion-associated (9 GO terms merged),1,UQCRC2,83,34,1361,10000,0.1361863813618638,0.1997029212741376,Abnormal neuronal process,Mitochondrion
d,3,"Neuritic, axonal–dendritic polarity and neuronal-process pathology",2,mRNA processing,3,CMTR2;DHX15;SNRPB2,83,47,10,10000,0.0010998900109989,0.0027160549251197,Abnormal neuronal process,mRNA processing
d,3,"Neuritic, axonal–dendritic polarity and neuronal-process pathology",3,ribonucleoprotein complex biogenesis,1,SNRPB2,83,45,1729,10000,0.172982701729827,0.2462459636389302,Abnormal neuronal process,ribonucleoprotein complex biogenesis
d,3,"Neuritic, axonal–dendritic polarity and neuronal-process pathology",4,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,0,,83,11,10000,10000,1.0,1.0,Abnormal neuronal process,Neg. reg. of caspase activity
d,3,"Neuritic, axonal–dendritic polarity and neuronal-process pathology",5,ribosome biogenesis,0,,83,34,10000,10000,1.0,1.0,Abnormal neuronal process,ribosome biogenesis
d,3,"Neuritic, axonal–dendritic polarity and neuronal-process pathology",6,endoribonuclease complex,0,,83,8,10000,10000,1.0,1.0,Abnormal neuronal process,endoribonuclease complex
d,3,"Neuritic, axonal–dendritic polarity and neuronal-process pathology",7,cytosolic ribosome,0,,83,16,10000,10000,1.0,1.0,Abnormal neuronal process,cytosolic ribosome
d,3,"Neuritic, axonal–dendritic polarity and neuronal-process pathology",8,spliceosomal complex,3,API5;DHX15;SNRPB2,83,22,0,10000,9.999000099990002e-05,0.0003269943275942,Abnormal neuronal process,spliceosomal complex
d,3,"Neuritic, axonal–dendritic polarity and neuronal-process pathology",9,multi-pass translocon complex,0,,83,4,10000,10000,1.0,1.0,Abnormal neuronal process,multi-pass translocon complex
d,3,"Neuritic, axonal–dendritic polarity and neuronal-process pathology",10,lysosomal membrane,2,BORCS8;NPRL3,83,38,119,10000,0.011998800119988,0.0241975802419758,Abnormal neuronal process,lysosomal membrane
d,3,"Neuritic, axonal–dendritic polarity and neuronal-process pathology",11,ribosome,1,MRPL39,83,24,959,10000,0.095990400959904,0.1508420586512777,Abnormal neuronal process,ribosome
d,4,"Punctate Tau signal, LLPS-related features, and stress-granule-like structures",1,Mitochondrion-associated (9 GO terms merged),5,COX8A;NDUFB1;SNCA;TIMM8B;TOMM22,140,34,0,10000,9.999000099990002e-05,0.0003269943275942,Liquid-liquid phase separation,Mitochondrion
d,4,"Punctate Tau signal, LLPS-related features, and stress-granule-like structures",2,mRNA processing,8,CLASRP;DHX15;GPKOW;PAXBP1;PPP1R8;SMNDC1;ZC3H14;ZNF830,140,47,0,10000,9.999000099990002e-05,0.0003269943275942,Liquid-liquid phase separation,mRNA processing
d,4,"Punctate Tau signal, LLPS-related features, and stress-granule-like structures",3,ribonucleoprotein complex biogenesis,5,GTPBP10;PRKRA;RIOK2;TSR2;UTP15,140,45,1,10000,0.0001999800019998,0.0006049395060493,Liquid-liquid phase separation,ribonucleoprotein complex biogenesis
d,4,"Punctate Tau signal, LLPS-related features, and stress-granule-like structures",4,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,2,MAP2K5;SNCA,140,11,27,10000,0.0027997200279972,0.0062734467294011,Liquid-liquid phase separation,Neg. reg. of caspase activity
d,4,"Punctate Tau signal, LLPS-related features, and stress-granule-like structures",5,ribosome biogenesis,4,GTPBP10;RIOK2;TSR2;UTP15,140,34,0,10000,9.999000099990002e-05,0.0003269943275942,Liquid-liquid phase separation,ribosome biogenesis
d,4,"Punctate Tau signal, LLPS-related features, and stress-granule-like structures",6,endoribonuclease complex,1,PRKRA,140,8,586,10000,0.0586941305869413,0.0972875315208205,Liquid-liquid phase separation,endoribonuclease complex
d,4,"Punctate Tau signal, LLPS-related features, and stress-granule-like structures",7,cytosolic ribosome,1,HBS1L,140,16,1103,10000,0.1103889611038896,0.1712444140201364,Liquid-liquid phase separation,cytosolic ribosome
d,4,"Punctate Tau signal, LLPS-related features, and stress-granule-like structures",8,spliceosomal complex,5,DHX15;GPKOW;PPP1R8;SMNDC1;ZNF830,140,22,0,10000,9.999000099990002e-05,0.0003269943275942,Liquid-liquid phase separation,spliceosomal complex
d,4,"Punctate Tau signal, LLPS-related features, and stress-granule-like structures",9,multi-pass translocon complex,0,,140,4,10000,10000,1.0,1.0,Liquid-liquid phase separation,multi-pass translocon complex
d,4,"Punctate Tau signal, LLPS-related features, and stress-granule-like structures",10,lysosomal membrane,2,BORCS8;OSTM1,140,38,309,10000,0.030996900309969,0.0577019221154807,Liquid-liquid phase separation,lysosomal membrane
d,4,"Punctate Tau signal, LLPS-related features, and stress-granule-like structures",11,ribosome,3,HBS1L;PSMA6;SRP68,140,24,9,10000,0.000999900009999,0.0025742106640399,Liquid-liquid phase separation,ribosome
d,5,"Filamentous, bundle-like Tau-positive networks and microtubule cytoskeletal remodeling",1,Mitochondrion-associated (9 GO terms merged),2,DNAJC19;HSPA4,215,34,499,10000,0.04999500049995,0.0840193758401937,Microtubule cytoskeletal remodeling,Mitochondrion
d,5,"Filamentous, bundle-like Tau-positive networks and microtubule cytoskeletal remodeling",2,mRNA processing,10,ACIN1;ADAR;CDK13;CMTR2;DDX20;FMR1;PAXBP1;RNPC3;TSEN54;WBP11,215,47,0,10000,9.999000099990002e-05,0.0003269943275942,Microtubule cytoskeletal remodeling,mRNA processing
d,5,"Filamentous, bundle-like Tau-positive networks and microtubule cytoskeletal remodeling",3,ribonucleoprotein complex biogenesis,11,ADAR;DDX20;DDX49;EIF3K;GTPBP10;PRKRA;RIOK2;RPS15;SUV39H1;TSR2;WBP11,215,45,0,10000,9.999000099990002e-05,0.0003269943275942,Microtubule cytoskeletal remodeling,ribonucleoprotein complex biogenesis
d,5,"Filamentous, bundle-like Tau-positive networks and microtubule cytoskeletal remodeling",4,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,1,IGBP1,215,11,1130,10000,0.1130886911308869,0.1732117927447761,Microtubule cytoskeletal remodeling,Neg. reg. of caspase activity
d,5,"Filamentous, bundle-like Tau-positive networks and microtubule cytoskeletal remodeling",5,ribosome biogenesis,7,DDX49;GTPBP10;RIOK2;RPS15;SUV39H1;TSR2;WBP11,215,34,0,10000,9.999000099990002e-05,0.0003269943275942,Microtubule cytoskeletal remodeling,ribosome biogenesis
d,5,"Filamentous, bundle-like Tau-positive networks and microtubule cytoskeletal remodeling",6,endoribonuclease complex,2,PRKRA;TSEN54,215,8,27,10000,0.0027997200279972,0.0062734467294011,Microtubule cytoskeletal remodeling,endoribonuclease complex
