feature_family,modality,fold,accuracy,macro_fpr,n_features
expert-designed features,SR,1,0.4069767441860465,0.1183104555817581,14
expert-designed features,SR,2,0.388235294117647,0.1221262880553926,14
expert-designed features,SR,3,0.3764705882352941,0.1235936795967354,14
expert-designed features,SR,4,0.3411764705882353,0.1321505246513948,14
expert-designed features,SR,5,0.3764705882352941,0.1248662148952887,14
MorphAgent,SR,1,0.5232558139534884,0.0984919905537504,350
MorphAgent,SR,2,0.611764705882353,0.0813027007350388,350
MorphAgent,SR,3,0.5058823529411764,0.1029513215694095,350
MorphAgent,SR,4,0.4823529411764706,0.1104769992626442,350
MorphAgent,SR,5,0.6,0.0823818395230571,350
expert-designed features,WF,1,0.2674418604651162,0.146517381611995,14
expert-designed features,WF,2,0.2906976744186046,0.1418358151496066,14
expert-designed features,WF,3,0.2117647058823529,0.1587656867891435,14
expert-designed features,WF,4,0.3294117647058823,0.1328765079469666,14
expert-designed features,WF,5,0.2941176470588235,0.1388637514358538,14
MorphAgent,WF,1,0.4651162790697674,0.1075763025606304,350
MorphAgent,WF,2,0.4302325581395348,0.1169913055750065,350
MorphAgent,WF,3,0.5647058823529412,0.0910476443054196,350
MorphAgent,WF,4,0.4823529411764706,0.1044043718812868,350
MorphAgent,WF,5,0.5176470588235295,0.0961907951423576,350
