rank,feature_name,feature_kind,review_score
1,tau_filament_fragmentation_score,code,5
2,tau_filament_texture_anisotropy,code,5
3,tau_soma_granularity_scale_ratio,code,5
4,tau_aggregation_scale_median_radius,code,5
5,tau_intensity_cell_vs_extracellular_ratio,code,5
6,tau_cell_body_enrichment_index,code,5
7,tau_cell_to_background_intensity_ratio,code,5
8,tau_droplet_intensity_texture_contrast,code,5
9,nuc_background_ratio,code,5
10,axon_like_filament_linear_intensity_gradient,code,5
11,tau_droplet_texture_contrast,code,5
12,tau_cell_to_background_dynamic_range,code,3
13,tau_intra_cell_intensity_skewness,code,5
14,tau_droplet_internal_texture_entropy,code,5
15,tau_radial_decay_from_cell_centroid,code,5
16,tau_bundle_filament_intensity_contrast,code,5
17,tau_cell_edge_to_nucleus_intensity_gradient,code,5
18,tau_cell_cytoplasmic_texture_entropy,code,5
19,tau_cellwide_granularity_ratio,code,5
20,cellwise_tau_aggresome_compactness,code,5
21,tau_neurite_radial_decay_irregularity,code,5
22,tau_pathological_mislocalization_score,vlm,5
23,tau_cellwide_texture_entropy_in_tau_positive_region,code,5
24,bundle_width,code,5
25,intra_cell_tau_texture_entropy_contrast,code,5
26,tau_intensity_entropy_within_cell,code,5
27,single_filament_cyto_ratio,code,5
28,tau_soma_pathology_staging_score,vlm,3
29,tau_cellwide_intensity_entropy,code,5
30,tau_cell_compartment_mislocalization_score,code,5
31,tau_soma_radial_distribution_skewness,code,5
32,tau_intensity_cell_to_droplet_enrichment_ratio,code,5
33,tau_cellwide_granularity_scale_ratio,code,5
34,tau_droplet_enrichment_ratio,code,5
35,tau_droplet_intensity_enrichment,code,5
36,tau_droplet_intensity_contrast,code,5
37,intranuclear_tau_texture_entropy,code,5
38,tau_intra_cell_texture_entropy,code,5
39,bundle_filament_alignment_coherence,code,5
40,tau_texture_in_cell_body_entropy,code,5
41,tau_cell_to_background_intensity_contrast,code,5
42,tau_droplet_shape_anisotropy_index,code,5
43,tau_soma_vs_neurite_dominance_score,vlm,5
44,tau_filament_radial_redistribution_index,code,5
45,filament_orientation_coherence,code,5
46,tau_filament_alignment_within_cell,code,5
47,tau_filament_linear_fraction,code,2
48,bundle_filament_alignment_score,code,2
49,tau_perisomatic_enrichment_index,code,5
50,tau_droplet_intensity_compaction_score,code,5
51,tau_bundle_soma_overlap_fraction,code,5
52,tau_bundle_cytoplasmic_infiltration_ratio,code,5
53,tau_mislocalization_score,vlm,5
54,tau_inside_vs_outside_cell_intensity_ratio,code,5
55,tau_pathology_severity_score,vlm,3
56,tau_bundle_alignment_coherence,code,5
