feature,n_genes,genes
code_adaptive_tau_hotspot_area_fraction,13,AADAT;ADORA2A;BORCS8;C1ORF112;CDKN2D;ETAA1;KCNJ8;KIF16B;PDGFRA;POFUT1;RPP25;SNHG4;TRIM52-AS1
code_aggregate_component_density_normalized,20,AKAP13;ARG2;ARHGAP31;ARHGAP39;ARL13B;BRWD1;ERF;HUS1;JAM3;KLHDC3;MIR9-3HG;NCLN;NECAB2;NNT;SNHG4;ST6GALNAC3;TTC33;UIMC1;ZIM2;ZNF592
code_aggregate_nuclear_proximity_weighted_intensity,11,ARG2;DNAJC19;EFCAB10;HUS1;KLHDC3;MYG1;RALY;ST6GALNAC3;TCTA;UIMC1;ZNF592
code_boundary_band_tau_fourier_peak_fraction,4,CD320;NBPF20;STK39;TRIM26
code_bundle_compact_inclusion_burden,5,CPVL;DCAF7;DERPC;ETFB;ZNF592
code_bundle_tau_boundary_arc_discontinuity,4,DCAF7;DERPC;ETFB;ZNF592
code_bundle_tau_burden_fraction,7,CPVL;DCAF7;DERPC;DNAJC19;ETFB;XPO4;ZNF592
code_bundle_tau_core_to_halo_contrast,4,BSDC1;GOLGA8A;STAT2;ZNF275
code_bundle_tau_lateral_intensity_skewness,5,CPVL;DAG1;DERPC;ETFB;ZNF592
code_bundle_tau_orientation_radial_misalignment,4,ANKRD7;BSDC1;MTPN;SLC3A2
code_bundle_tau_structure_tensor_anisotropy,4,DERPC;DNAJC19;MZT2B;ZNF592
code_cell_boundary_tau_penetration_depth,4,CCDC186;DOK6;PCDHGA7;TAF9
code_cell_edge_tau_halo_excess_ratio,1,NT5C2
code_cell_edge_tau_inward_gradient_skewness,3,ERVK13-1;RBM33;TCTA
code_cell_periphery_tau_enrichment,3,MON1A;PCDHGA7;STMN4
code_cell_tau_boxcount_fractal_dimension,13,APBB1;BORCS8;CHMP5;FNIP1;NLGN3;NUDT2;PDGFRA;PPP1R8;RBPMS2;RECQL;RPS16;SLC9A6;SOX12
code_cell_tau_distal_geodesic_mass_fraction,3,FAAP100;MRPS18B;ZSWIM3
code_cell_tau_geodesic_distance_dispersion,3,AIMP1;SH3BP5-AS1;ZIM2
code_cell_tau_gini_heterogeneity,6,KCNJ8;MSL1;NXF1;PAXBP1;STAT2;USB1
code_cell_tau_intensity_gini,6,KCNJ8;MSL1;NXF1;PAXBP1;STAT2;USB1
code_cell_tau_medial_axis_affinity,7,AIMP1;APOOL;APPL1;EIF3K;PABPC1L;PPT2;ZSWIM3
code_cell_tau_radial_entropy,19,BTD;CEPT1;CRYZ;ETAA1;IWS1;KIF16B;KLHL7;NPRL3;PAXBP1;PDCD6IP;PDGFRA;PGGT1B;RPL39;RPS16;RPS29;RPS3;TMF1;UQCRH;ZNF140
code_compact_to_linear_aggregate_balance,2,IMMT;KNOP1
code_cytoplasm_nuclear_tau_enrichment_ratio,1,OBI1
code_cytoplasm_tau_directional_variogram_anisotropy,4,ANKRD12;SUV39H1;SYAP1;ZNF738
code_cytoplasm_tau_entropy_radial_gradient,1,TSC22D2
code_cytoplasm_tau_gray_run_length_nonuniformity,12,AADAT;CDKN2D;EIF3K;EPHX1;MCU;PAXBP1;POFUT1;RNF10;SLC3A2;SPOUT1;TEN1-CDK3;USB1
code_cytoplasm_tau_interior_periphery_variance_ratio,1,LINC00581
code_cytoplasm_tau_isolevel_centroid_tortuosity,3,LDLRAP1;PLS1;PSMG3
code_cytoplasm_tau_laplacian_zero_crossing_density,5,CCP110;DCAF7;SCAND1;SYAP1;VPS72
code_cytoplasm_tau_log_gabor_orientation_dispersion,5,ANKRD12;IGBP1;SUV39H1;SYAP1;ZNF738
code_cytoplasm_tau_peak_prominence_gini,1,CCDC85C
code_cytoplasm_tau_radial_decile_heterogeneity,13,BTN2A2;C1ORF112;EXOSC1;LINC02256;MIGA1;MTMR3;NPIPB5;PFKFB3;SUGP1;TCEAL1;TMEM167B;UBE2Q1;ZNF140
code_cytoplasm_tau_radial_mass_iqr_width,2,ATP1B3;CHMP7
code_cytoplasm_tau_radial_quantile_bow,3,DOK6;PCDHGA7;RCHY1
code_cytoplasm_tau_spot_to_haze_energy_ratio,6,AADAT;ARL14EP;CTC1;MIGA1;NPIPB5;PAXBP1
code_cytoplasm_tau_tail_balance_ratio,9,AADAT;C1ORF112;EGLN2;EIF3K;GPKOW;KCNJ8;MICAL1;PAXBP1;STAT2
code_cytoplasmic_tau_angular_polarity,1,BSDC1
