go_display_order,go_display_label,go_id,merged_from_n_terms,n_genes,genes
1,Mitochondrion-associated (9 GO terms merged),merged:GO:0001401;GO:0005742;GO:0007006;GO:0007007;GO:0044284;GO:0061617;GO:0098799;GO:0098800;GO:0140275,9,34,ACAA2;AP3B1;APOO;APOOL;ATF2;ATP5PF;COX6A1;COX8A;DNAJC11;DNAJC15;DNAJC19;HIP1R;HSPA4;HSPA9;IMMT;MAIP1;MCU;MFN2;MICOS13;MICU2;MUL1;NDUFA3;NDUFB1;NDUFV2;OXA1L;PAM16;SNCA;THEM4;TIMM29;TIMM8B;TOMM22;UQCR10;UQCRC2;UQCRH
2,mRNA processing,GO:0006397,1,47,ACIN1;ADAR;ARMC7;CDK13;CLASRP;CMTR2;DDX20;DHX15;ERN1;ESS2;EXOSC10;FIP1L1;FMR1;GPKOW;IWS1;KAT8;MTPAP;NBDY;PAXBP1;PCF11;PPP1R8;PTBP2;PTBP3;RALY;RBM25;RBPMS2;RNPC3;SCNM1;SLBP;SMNDC1;SNRNP35;SNRNP48;SNRPB2;SNRPC;SRSF4;SUGP1;TFIP11;THOC1;TSEN2;TSEN54;TXNL4B;USP39;WBP11;XAB2;ZC3H14;ZNF326;ZNF830
3,ribonucleoprotein complex biogenesis,GO:0022613,1,45,ADAR;DDX20;DDX21;DDX49;DIS3;DROSHA;EFL1;EIF3B;EIF3K;EIF5B;EXOSC1;EXOSC10;GNL2;GTF3A;GTPBP10;KRR1;NOP14;PRKRA;PTBP2;RIOK1;RIOK2;RPL10A;RPP25;RPS15;RPS16;RPS24;RPS3A;RRN3;RRP12;RRS1;RSL1D1;SNRPB2;SNRPC;SRFBP1;SUV39H1;TAF9;TFB2M;TSR2;TSR3;USP16;USP39;UTP15;WBP11;XAB2;XRCC5
4,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043154,1,11,ARL6IP1;CDKN2D;FNIP1;IGBP1;LAMTOR5;MAP2K5;RAF1;RFFL;RPS6KA3;SH3RF1;SNCA
5,ribosome biogenesis,GO:0042254,1,34,DDX21;DDX49;DIS3;DROSHA;EFL1;EIF5B;EXOSC1;EXOSC10;GNL2;GTF3A;GTPBP10;KRR1;NOP14;RIOK1;RIOK2;RPL10A;RPP25;RPS15;RPS16;RPS24;RPS3A;RRN3;RRP12;RRS1;RSL1D1;SRFBP1;SUV39H1;TFB2M;TSR2;TSR3;USP16;UTP15;WBP11;XRCC5
6,endoribonuclease complex,GO:1902555,1,8,DROSHA;ERN1;MRPL44;PRKRA;RPP21;RPP25;TSEN2;TSEN54
7,cytosolic ribosome,GO:0022626,1,16,GSPT1;HBS1L;RNF10;RPL10A;RPL12;RPL34;RPL36;RPL39;RPL4;RPS15;RPS16;RPS24;RPS29;RPS3;RPS3A;RSL1D1
8,spliceosomal complex,GO:0005681,1,22,ADAR;API5;ARMC7;DHX15;ESS2;GPKOW;PPP1R8;PTBP2;RALY;RNPC3;SCNM1;SMNDC1;SNRNP35;SNRNP48;SNRPB2;SNRPC;SUGP1;TFIP11;TXNL4B;USP39;XAB2;ZNF830
9,multi-pass translocon complex,GO:0160064,1,4,NCLN;NOMO2;NOMO3;TMEM147
10,endonuclease complex,GO:1905348,1,8,DROSHA;ERN1;MRPL44;PRKRA;RPP21;RPP25;TSEN2;TSEN54
11,lysosomal membrane,GO:0005765,1,38,AP2A2;AP3B1;ARL8B;ATG16L1;ATP6V0B;ATP6V0E1;ATP6V0E2;ATP6V1D;BORCS8;CHMP3;CHMP5;CHMP7;CTSA;DAGLB;DDOST;FNIP1;LAMTOR5;LITAF;LNPEP;LRBA;MAGT1;MLST8;MYO6;NPRL3;OCLN;OSTM1;PSEN1;RAB5C;RNF167;SLC29A3;SLC38A7;SLC3A2;SLC48A1;SPPL2A;TBC1D7;VAMP7;ZFYVE26;ZNRF2
12,lytic vacuole membrane,GO:0098852,1,38,AP2A2;AP3B1;ARL8B;ATG16L1;ATP6V0B;ATP6V0E1;ATP6V0E2;ATP6V1D;BORCS8;CHMP3;CHMP5;CHMP7;CTSA;DAGLB;DDOST;FNIP1;LAMTOR5;LITAF;LNPEP;LRBA;MAGT1;MLST8;MYO6;NPRL3;OCLN;OSTM1;PSEN1;RAB5C;RNF167;SLC29A3;SLC38A7;SLC3A2;SLC48A1;SPPL2A;TBC1D7;VAMP7;ZFYVE26;ZNRF2
13,ribosome,GO:0005840,1,24,GSPT1;HBS1L;HSPA14;MRPL19;MRPL39;MRPL44;MRPS18B;PSMA6;RNF10;RPL10A;RPL12;RPL34;RPL36;RPL39;RPL4;RPS15;RPS16;RPS24;RPS29;RPS3;RPS3A;RRBP1;RSL1D1;SRP68
