GO_term,GRN_id,TF,targets,n_genes,genes,genes_slash
ribonucleoprotein complex biogenesis,GRN1,DDX20,RPS15;RRN3;GTPBP10,4,DDX20;RPS15;RRN3;GTPBP10,DDX20/RPS15/RRN3/GTPBP10
ribonucleoprotein complex biogenesis,GRN2,DIS3,UTP15;PTBP2;RIOK2;RPS15,5,DIS3;UTP15;PTBP2;RIOK2;RPS15,DIS3/UTP15/PTBP2/RIOK2/RPS15
ribonucleoprotein complex biogenesis,GRN3,GTF3A,DDX49;RSL1D1;ADAR;RRS1;RPP25,6,GTF3A;DDX49;RSL1D1;ADAR;RRS1;RPP25,GTF3A/DDX49/RSL1D1/ADAR/RRS1/RPP25
ribonucleoprotein complex biogenesis,GRN4,RIOK2,TFB2M,2,RIOK2;TFB2M,RIOK2/TFB2M
ribonucleoprotein complex biogenesis,GRN5,RPP25,RRS1;EIF3B;GTPBP10,4,RPP25;RRS1;EIF3B;GTPBP10,RPP25/RRS1/EIF3B/GTPBP10
ribonucleoprotein complex biogenesis,GRN6,SNRPB2,RPS24;EIF3K;SNRPC;RPS16,5,SNRPB2;RPS24;EIF3K;SNRPC;RPS16,SNRPB2/RPS24/EIF3K/SNRPC/RPS16
ribonucleoprotein complex biogenesis,GRN7,TAF9,GTF3A;TSR2;RPS16;KRR1;DIS3,6,TAF9;GTF3A;TSR2;RPS16;KRR1;DIS3,TAF9/GTF3A/TSR2/RPS16/KRR1/DIS3
ribonucleoprotein complex biogenesis,GRN8,USP39,DDX49;SNRPB2;GTF3A,4,USP39;DDX49;SNRPB2;GTF3A,USP39/DDX49/SNRPB2/GTF3A
spliceosomal complex,GRN1,SNRPB2,SNRPC,2,SNRPB2;SNRPC,SNRPB2/SNRPC
spliceosomal complex,GRN2,USP39,ZNF830;RALY;SNRPB2,4,RALY;SNRPB2;USP39;ZNF830,USP39/ZNF830/RALY/SNRPB2
spliceosomal complex,GRN3,ZNF830,RNPC3;TXNL4B;SUGP1,4,RNPC3;SUGP1;TXNL4B;ZNF830,ZNF830/RNPC3/TXNL4B/SUGP1
